Overriding config with config/train_shakespeare_char_bs64.py:
# Experiment 4: Lower Context Length
# Change: context length block_size 264 -> 64
# All other hyperparameters match baseline

out_dir = 'out-shakespeare-bs64'

eval_interval = 250
eval_iters = 200            
log_interval = 10

always_save_checkpoint = False

wandb_log = False
wandb_project = 'nanoGPT-assignment'
wandb_run_name = 'bs64'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 64         # CHANGED: baseline was 256

n_layer = 6              
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3      
max_iters = 5000
lr_decay_iters = 5000
min_lr = 1e-4
beta2 = 0.99

warmup_iters = 100
weight_decay = 1e-1

device = 'cuda' # change to 'cpu' for CPU
compile = False

tokens per iteration will be: 4,096
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
c:\Users\lexil\code\NLP Foundations Assignment\FoundationsNLP\train.py:196: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
num decayed parameter tensors: 26, with 10,666,368 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
iter 2420: loss 1.3518, time 43.38ms, mfu 2.03%
iter 2430: loss 1.3346, time 39.64ms, mfu 2.04%
iter 2440: loss 1.3912, time 41.62ms, mfu 2.04%
iter 2450: loss 1.3432, time 35.68ms, mfu 2.08%
iter 2460: loss 1.3257, time 31.79ms, mfu 2.14%
iter 2470: loss 1.3711, time 36.37ms, mfu 2.17%
iter 2480: loss 1.3774, time 33.83ms, mfu 2.20%
iter 2490: loss 1.3341, time 32.41ms, mfu 2.25%
step 2500: train loss 1.3020, val loss 1.5323
saving checkpoint to out-shakespeare-bs64
iter 2500: loss 1.3853, time 5932.61ms, mfu 2.03%
iter 2510: loss 1.3520, time 48.19ms, mfu 2.00%
iter 2520: loss 1.3059, time 49.85ms, mfu 1.98%
iter 2530: loss 1.3478, time 38.06ms, mfu 2.00%
iter 2540: loss 1.3474, time 46.63ms, mfu 1.99%
iter 2550: loss 1.4039, time 42.87ms, mfu 1.99%
iter 2560: loss 1.3639, time 39.31ms, mfu 2.01%
iter 2570: loss 1.3415, time 40.19ms, mfu 2.02%
iter 2580: loss 1.3628, time 35.66ms, mfu 2.06%
iter 2590: loss 1.3773, time 46.50ms, mfu 2.04%
iter 2600: loss 1.3976, time 33.73ms, mfu 2.09%
iter 2610: loss 1.3407, time 36.99ms, mfu 2.12%
iter 2620: loss 1.3170, time 49.77ms, mfu 2.08%
iter 2630: loss 1.3181, time 40.08ms, mfu 2.09%
iter 2640: loss 1.3269, time 44.94ms, mfu 2.07%
iter 2650: loss 1.3555, time 44.44ms, mfu 2.06%
iter 2660: loss 1.3786, time 35.84ms, mfu 2.09%
iter 2670: loss 1.3697, time 38.21ms, mfu 2.11%
iter 2680: loss 1.3761, time 34.40ms, mfu 2.15%
iter 2690: loss 1.3669, time 39.89ms, mfu 2.15%
iter 2700: loss 1.3225, time 46.49ms, mfu 2.12%
iter 2710: loss 1.3363, time 42.53ms, mfu 2.11%
iter 2720: loss 1.3776, time 45.86ms, mfu 2.09%
iter 2730: loss 1.3648, time 38.30ms, mfu 2.10%
iter 2740: loss 1.3502, time 36.47ms, mfu 2.13%
step 2750: train loss 1.2810, val loss 1.5171
saving checkpoint to out-shakespeare-bs64
iter 2750: loss 1.2836, time 5913.22ms, mfu 1.92%
iter 2760: loss 1.3987, time 44.20ms, mfu 1.92%
iter 2770: loss 1.2899, time 52.39ms, mfu 1.89%
iter 2780: loss 1.2874, time 40.16ms, mfu 1.92%
iter 2790: loss 1.3127, time 43.50ms, mfu 1.92%
iter 2800: loss 1.3293, time 37.53ms, mfu 1.96%
iter 2810: loss 1.3899, time 42.49ms, mfu 1.97%
iter 2820: loss 1.3626, time 37.27ms, mfu 2.00%
iter 2830: loss 1.4007, time 36.33ms, mfu 2.04%
iter 2840: loss 1.3061, time 49.53ms, mfu 2.01%
iter 2850: loss 1.3572, time 42.70ms, mfu 2.01%
iter 2860: loss 1.3163, time 37.32ms, mfu 2.04%
iter 2870: loss 1.3394, time 45.62ms, mfu 2.03%
iter 2880: loss 1.3106, time 43.48ms, mfu 2.02%
iter 2890: loss 1.3313, time 46.36ms, mfu 2.01%
iter 2900: loss 1.3111, time 36.65ms, mfu 2.04%
iter 2910: loss 1.3511, time 46.18ms, mfu 2.02%
iter 2920: loss 1.3572, time 47.97ms, mfu 2.00%
iter 2930: loss 1.3359, time 43.34ms, mfu 2.00%
iter 2940: loss 1.3320, time 35.32ms, mfu 2.04%
iter 2950: loss 1.3103, time 42.89ms, mfu 2.04%
iter 2960: loss 1.3264, time 45.83ms, mfu 2.02%
iter 2970: loss 1.2852, time 47.19ms, mfu 2.00%
iter 2980: loss 1.3317, time 31.90ms, mfu 2.07%
iter 2990: loss 1.3490, time 47.55ms, mfu 2.05%
step 3000: train loss 1.2627, val loss 1.5178
iter 3000: loss 1.3319, time 5888.89ms, mfu 1.84%
iter 3010: loss 1.3362, time 45.24ms, mfu 1.85%
iter 3020: loss 1.3576, time 44.43ms, mfu 1.86%
iter 3030: loss 1.3545, time 45.51ms, mfu 1.86%
iter 3040: loss 1.3309, time 46.71ms, mfu 1.86%
iter 3050: loss 1.2870, time 39.71ms, mfu 1.89%
iter 3060: loss 1.3110, time 45.98ms, mfu 1.89%
iter 3070: loss 1.3079, time 36.02ms, mfu 1.94%
iter 3080: loss 1.3137, time 38.37ms, mfu 1.97%
iter 3090: loss 1.2859, time 39.43ms, mfu 1.99%
iter 3100: loss 1.2628, time 52.78ms, mfu 1.96%
iter 3110: loss 1.3121, time 34.86ms, mfu 2.01%
iter 3120: loss 1.2922, time 40.78ms, mfu 2.02%
iter 3130: loss 1.3795, time 43.21ms, mfu 2.02%
iter 3140: loss 1.3723, time 34.82ms, mfu 2.06%
iter 3150: loss 1.3145, time 46.00ms, mfu 2.04%
iter 3160: loss 1.3051, time 43.84ms, mfu 2.04%
iter 3170: loss 1.3364, time 37.64ms, mfu 2.06%
iter 3180: loss 1.3019, time 35.40ms, mfu 2.10%
iter 3190: loss 1.2899, time 35.06ms, mfu 2.13%
iter 3200: loss 1.3257, time 23.47ms, mfu 2.29%
iter 3210: loss 1.3220, time 36.73ms, mfu 2.29%
iter 3220: loss 1.2810, time 40.69ms, mfu 2.28%
iter 3230: loss 1.2872, time 33.73ms, mfu 2.30%
iter 3240: loss 1.3109, time 38.01ms, mfu 2.30%
step 3250: train loss 1.2407, val loss 1.5084
saving checkpoint to out-shakespeare-bs64
iter 3250: loss 1.2860, time 6221.88ms, mfu 2.07%
iter 3260: loss 1.3605, time 48.74ms, mfu 2.04%
iter 3270: loss 1.3328, time 51.40ms, mfu 2.01%
iter 3280: loss 1.3034, time 52.58ms, mfu 1.97%
iter 3290: loss 1.2671, time 35.11ms, mfu 2.02%
iter 3300: loss 1.2774, time 38.63ms, mfu 2.04%
iter 3310: loss 1.3071, time 46.00ms, mfu 2.02%
iter 3320: loss 1.3242, time 42.89ms, mfu 2.02%
iter 3330: loss 1.2783, time 41.15ms, mfu 2.03%
iter 3340: loss 1.2700, time 35.32ms, mfu 2.07%
iter 3350: loss 1.3004, time 41.85ms, mfu 2.07%
iter 3360: loss 1.2777, time 43.75ms, mfu 2.06%
iter 3370: loss 1.3009, time 44.15ms, mfu 2.05%
iter 3380: loss 1.2364, time 33.57ms, mfu 2.10%
iter 3390: loss 1.3390, time 40.79ms, mfu 2.10%
iter 3400: loss 1.2978, time 41.53ms, mfu 2.10%
iter 3410: loss 1.2755, time 39.82ms, mfu 2.11%
iter 3420: loss 1.2998, time 28.49ms, mfu 2.20%
iter 3430: loss 1.3236, time 40.71ms, mfu 2.19%
iter 3440: loss 1.3130, time 44.49ms, mfu 2.16%
iter 3450: loss 1.3163, time 35.61ms, mfu 2.19%
iter 3460: loss 1.2876, time 42.24ms, mfu 2.17%
iter 3470: loss 1.2693, time 55.16ms, mfu 2.11%
iter 3480: loss 1.2799, time 37.45ms, mfu 2.13%
iter 3490: loss 1.2627, time 40.11ms, mfu 2.13%
step 3500: train loss 1.2224, val loss 1.4967
saving checkpoint to out-shakespeare-bs64
iter 3500: loss 1.2675, time 5997.82ms, mfu 1.92%
iter 3510: loss 1.2609, time 37.07ms, mfu 1.96%
iter 3520: loss 1.3357, time 38.93ms, mfu 1.99%
