Overriding config with config/train_shakespeare_char_lr5e4.py:
# Experiment 2: Low learning rate
# Change: learning_rate 1e-3 -> 5e-4 (5x decrease)
# All other hyperparameters match baseline

out_dir = 'out-shakespeare-lr5e4'

eval_interval = 250
eval_iters = 200            
log_interval = 10

always_save_checkpoint = False

wandb_log = False
wandb_project = 'nanoGPT-assignment'
wandb_run_name = 'lr5e4'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256

n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 5e-4       # CHANGED: baseline was 1e-3
max_iters = 5000
lr_decay_iters = 5000
min_lr = 1e-4
beta2 = 0.99

warmup_iters = 100
weight_decay = 1e-1

device = 'cuda' # change to 'cpu' for CPU
compile = False

tokens per iteration will be: 16,384
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
c:\Users\lexil\code\NLP Foundations Assignment\FoundationsNLP\train.py:196: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
num decayed parameter tensors: 26, with 10,740,096 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
iter 2470: loss 1.1653, time 157.51ms, mfu 2.16%
iter 2480: loss 1.1638, time 178.71ms, mfu 2.15%
iter 2490: loss 1.1427, time 176.34ms, mfu 2.15%
step 2500: train loss 1.0598, val loss 1.4707
saving checkpoint to out-shakespeare-lr5e4
iter 2500: loss 1.1619, time 23538.83ms, mfu 1.94%
iter 2510: loss 1.1522, time 156.36ms, mfu 1.98%
iter 2520: loss 1.1284, time 162.36ms, mfu 2.01%
iter 2530: loss 1.1349, time 183.79ms, mfu 2.01%
iter 2540: loss 1.1244, time 176.21ms, mfu 2.02%
iter 2550: loss 1.1512, time 174.25ms, mfu 2.04%
iter 2560: loss 1.1356, time 166.35ms, mfu 2.06%
iter 2570: loss 1.1641, time 165.11ms, mfu 2.08%
iter 2580: loss 1.1624, time 177.58ms, mfu 2.08%
iter 2590: loss 1.1507, time 170.14ms, mfu 2.09%
iter 2600: loss 1.1451, time 175.09ms, mfu 2.09%
iter 2610: loss 1.1282, time 159.06ms, mfu 2.12%
iter 2620: loss 1.1302, time 173.11ms, mfu 2.12%
iter 2630: loss 1.1051, time 169.59ms, mfu 2.13%
iter 2640: loss 1.1281, time 169.91ms, mfu 2.14%
iter 2650: loss 1.1541, time 169.95ms, mfu 2.14%
iter 2660: loss 1.1239, time 169.95ms, mfu 2.15%
iter 2670: loss 1.1087, time 171.76ms, mfu 2.15%
iter 2680: loss 1.1321, time 172.53ms, mfu 2.15%
iter 2690: loss 1.1355, time 174.24ms, mfu 2.15%
iter 2700: loss 1.1080, time 170.40ms, mfu 2.15%
iter 2710: loss 1.1406, time 174.05ms, mfu 2.15%
iter 2720: loss 1.1333, time 172.39ms, mfu 2.15%
iter 2730: loss 1.1481, time 171.62ms, mfu 2.15%
iter 2740: loss 1.1150, time 178.63ms, mfu 2.15%
step 2750: train loss 1.0277, val loss 1.4770
iter 2750: loss 1.1221, time 25255.71ms, mfu 1.93%
iter 2760: loss 1.1186, time 151.80ms, mfu 1.99%
iter 2770: loss 1.1144, time 172.32ms, mfu 2.00%
iter 2780: loss 1.1162, time 163.93ms, mfu 2.03%
iter 2790: loss 1.1192, time 168.90ms, mfu 2.05%
iter 2800: loss 1.1026, time 159.53ms, mfu 2.08%
iter 2810: loss 1.1391, time 166.76ms, mfu 2.09%
iter 2820: loss 1.1199, time 163.06ms, mfu 2.11%
iter 2830: loss 1.1161, time 170.64ms, mfu 2.12%
iter 2840: loss 1.0715, time 190.87ms, mfu 2.10%
iter 2850: loss 1.1291, time 177.09ms, mfu 2.10%
iter 2860: loss 1.1129, time 167.81ms, mfu 2.11%
iter 2870: loss 1.0986, time 195.37ms, mfu 2.09%
iter 2880: loss 1.1330, time 169.18ms, mfu 2.10%
iter 2890: loss 1.1104, time 183.20ms, mfu 2.10%
iter 2900: loss 1.0805, time 186.09ms, mfu 2.09%
iter 2910: loss 1.1299, time 182.82ms, mfu 2.08%
iter 2920: loss 1.1032, time 160.70ms, mfu 2.11%
iter 2930: loss 1.0880, time 193.38ms, mfu 2.09%
iter 2940: loss 1.0902, time 196.55ms, mfu 2.07%
iter 2950: loss 1.1117, time 170.66ms, mfu 2.08%
iter 2960: loss 1.0963, time 173.25ms, mfu 2.09%
iter 2970: loss 1.0907, time 172.79ms, mfu 2.09%
iter 2980: loss 1.0962, time 173.54ms, mfu 2.10%
iter 2990: loss 1.0868, time 172.74ms, mfu 2.11%
step 3000: train loss 0.9949, val loss 1.4816
iter 3000: loss 1.0818, time 23579.04ms, mfu 1.90%
iter 3010: loss 1.0909, time 177.69ms, mfu 1.92%
iter 3020: loss 1.0916, time 169.94ms, mfu 1.94%
iter 3030: loss 1.0867, time 182.01ms, mfu 1.95%
iter 3040: loss 1.1238, time 181.92ms, mfu 1.96%
iter 3050: loss 1.0801, time 171.56ms, mfu 1.98%
iter 3060: loss 1.0897, time 168.70ms, mfu 2.01%
iter 3070: loss 1.1142, time 162.89ms, mfu 2.04%
iter 3080: loss 1.0931, time 167.02ms, mfu 2.05%
iter 3090: loss 1.0826, time 165.31ms, mfu 2.07%
iter 3100: loss 1.0943, time 172.81ms, mfu 2.08%
iter 3110: loss 1.0651, time 172.37ms, mfu 2.09%
iter 3120: loss 1.0996, time 171.60ms, mfu 2.10%
iter 3130: loss 1.0769, time 169.80ms, mfu 2.11%
iter 3140: loss 1.0790, time 169.22ms, mfu 2.12%
iter 3150: loss 1.0886, time 176.05ms, mfu 2.12%
iter 3160: loss 1.1178, time 165.85ms, mfu 2.13%
iter 3170: loss 1.0557, time 166.56ms, mfu 2.14%
iter 3180: loss 1.0656, time 160.26ms, mfu 2.16%
iter 3190: loss 1.0890, time 169.39ms, mfu 2.16%
iter 3200: loss 1.0681, time 177.32ms, mfu 2.16%
iter 3210: loss 1.0668, time 163.75ms, mfu 2.17%
iter 3220: loss 1.0591, time 166.88ms, mfu 2.18%
iter 3230: loss 1.0550, time 164.80ms, mfu 2.18%
