Overriding config with config/train_shakespeare_char_do0.0.py:
# Experiment 3: Low Dropout
# Change: dropout 0.2 -> 0.0 (remove dropout)
# All other hyperparameters match baseline

out_dir = 'out-shakespeare-do0.0'

eval_interval = 250
eval_iters = 200            
log_interval = 10

always_save_checkpoint = False

wandb_log = False
wandb_project = 'nanoGPT-assignment'
wandb_run_name = 'do0.0'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256

n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.0       # CHANGED: baseline was 0.2

learning_rate = 1e-3       
max_iters = 5000
lr_decay_iters = 5000
min_lr = 1e-4
beta2 = 0.99

warmup_iters = 100
weight_decay = 1e-1

device = 'cuda' # change to 'cpu' for CPU
compile = False

tokens per iteration will be: 16,384
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
c:\Users\creep\.vscode\FoundationsNLP\train.py:196: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
num decayed parameter tensors: 26, with 10,740,096 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
iter 1520: loss 0.7746, time 1001.16ms, mfu 0.35%
iter 1530: loss 0.7503, time 960.91ms, mfu 0.35%
iter 1540: loss 0.6966, time 972.62ms, mfu 0.35%
iter 1550: loss 0.7177, time 979.77ms, mfu 0.36%
iter 1560: loss 0.7200, time 963.37ms, mfu 0.36%
iter 1570: loss 0.7300, time 977.88ms, mfu 0.36%
iter 1580: loss 0.6846, time 979.58ms, mfu 0.36%
iter 1590: loss 0.6624, time 989.02ms, mfu 0.36%
iter 1600: loss 0.6878, time 990.30ms, mfu 0.37%
iter 1610: loss 0.6970, time 993.27ms, mfu 0.37%
iter 1620: loss 0.6526, time 976.92ms, mfu 0.37%
iter 1630: loss 0.6738, time 976.79ms, mfu 0.37%
iter 1640: loss 0.6531, time 975.48ms, mfu 0.37%
iter 1650: loss 0.6395, time 976.75ms, mfu 0.37%
iter 1660: loss 0.6480, time 950.11ms, mfu 0.37%
iter 1670: loss 0.6101, time 1024.21ms, mfu 0.37%
iter 1680: loss 0.6383, time 975.97ms, mfu 0.37%
iter 1690: loss 0.6176, time 977.68ms, mfu 0.37%
iter 1700: loss 0.6309, time 974.06ms, mfu 0.38%
iter 1710: loss 0.6085, time 980.59ms, mfu 0.38%
iter 1720: loss 0.5955, time 961.86ms, mfu 0.38%
iter 1730: loss 0.5809, time 977.11ms, mfu 0.38%
iter 1740: loss 0.5666, time 962.95ms, mfu 0.38%
step 1750: train loss 0.5737, val loss 2.1027
iter 1750: loss 0.5794, time 149609.41ms, mfu 0.34%
iter 1760: loss 0.5601, time 996.11ms, mfu 0.34%
iter 1770: loss 0.5885, time 969.85ms, mfu 0.35%
iter 1780: loss 0.5534, time 977.86ms, mfu 0.35%
iter 1790: loss 0.5725, time 968.82ms, mfu 0.35%
iter 1800: loss 0.5477, time 958.03ms, mfu 0.36%
iter 1810: loss 0.5415, time 971.87ms, mfu 0.36%
iter 1820: loss 0.5195, time 982.00ms, mfu 0.36%
iter 1830: loss 0.4904, time 974.09ms, mfu 0.36%
iter 1840: loss 0.4955, time 978.40ms, mfu 0.37%
iter 1850: loss 0.4809, time 976.10ms, mfu 0.37%
iter 1860: loss 0.4810, time 976.40ms, mfu 0.37%
iter 1870: loss 0.4900, time 959.16ms, mfu 0.37%
iter 1880: loss 0.5287, time 961.16ms, mfu 0.37%
iter 1890: loss 0.4846, time 973.74ms, mfu 0.37%
iter 1900: loss 0.4489, time 960.24ms, mfu 0.38%
iter 1910: loss 0.4772, time 960.88ms, mfu 0.38%
iter 1920: loss 0.4724, time 961.78ms, mfu 0.38%
iter 1930: loss 0.4303, time 966.00ms, mfu 0.38%
iter 1940: loss 0.3967, time 973.13ms, mfu 0.38%
iter 1950: loss 0.4269, time 964.06ms, mfu 0.38%
iter 1960: loss 0.4165, time 962.93ms, mfu 0.38%
iter 1970: loss 0.4495, time 963.27ms, mfu 0.38%
iter 1980: loss 0.4168, time 994.10ms, mfu 0.38%
iter 1990: loss 0.4246, time 958.92ms, mfu 0.38%
step 2000: train loss 0.4076, val loss 2.3998
iter 2000: loss 0.3738, time 149675.85ms, mfu 0.34%
iter 2010: loss 0.3841, time 988.23ms, mfu 0.35%
iter 2020: loss 0.3660, time 961.76ms, mfu 0.35%
iter 2030: loss 0.4114, time 963.08ms, mfu 0.35%
iter 2040: loss 0.4047, time 964.16ms, mfu 0.36%
iter 2050: loss 0.3973, time 963.22ms, mfu 0.36%
iter 2060: loss 0.3468, time 979.78ms, mfu 0.36%
iter 2070: loss 0.3715, time 974.17ms, mfu 0.36%
iter 2080: loss 0.3764, time 990.01ms, mfu 0.37%
iter 2090: loss 0.3517, time 961.13ms, mfu 0.37%
iter 2100: loss 0.3870, time 978.50ms, mfu 0.37%
iter 2110: loss 0.3650, time 961.98ms, mfu 0.37%
iter 2120: loss 0.3642, time 972.64ms, mfu 0.37%
iter 2130: loss 0.3462, time 979.33ms, mfu 0.37%
iter 2140: loss 0.3335, time 979.18ms, mfu 0.37%
iter 2150: loss 0.3319, time 961.03ms, mfu 0.38%
iter 2160: loss 0.3354, time 977.02ms, mfu 0.38%
iter 2170: loss 0.3205, time 979.25ms, mfu 0.38%
iter 2180: loss 0.3351, time 962.61ms, mfu 0.38%
iter 2190: loss 0.3274, time 976.10ms, mfu 0.38%
iter 2200: loss 0.3052, time 987.04ms, mfu 0.38%
iter 2210: loss 0.3225, time 963.07ms, mfu 0.38%
iter 2220: loss 0.3179, time 958.70ms, mfu 0.38%
iter 2230: loss 0.3147, time 973.00ms, mfu 0.38%
iter 2240: loss 0.3028, time 960.44ms, mfu 0.38%
step 2250: train loss 0.2988, val loss 2.7300
iter 2250: loss 0.2915, time 150166.12ms, mfu 0.34%
iter 2260: loss 0.2991, time 1006.78ms, mfu 0.35%
iter 2270: loss 0.2808, time 1020.94ms, mfu 0.35%
iter 2280: loss 0.3001, time 1024.71ms, mfu 0.35%
iter 2290: loss 0.3046, time 969.76ms, mfu 0.35%
iter 2300: loss 0.2877, time 975.88ms, mfu 0.36%
iter 2310: loss 0.2627, time 1003.92ms, mfu 0.36%
iter 2320: loss 0.2555, time 990.98ms, mfu 0.36%
iter 2330: loss 0.2864, time 991.88ms, mfu 0.36%
iter 2340: loss 0.2646, time 990.14ms, mfu 0.36%
iter 2350: loss 0.2687, time 990.91ms, mfu 0.36%
iter 2360: loss 0.2700, time 989.60ms, mfu 0.36%
iter 2370: loss 0.2712, time 990.48ms, mfu 0.37%
iter 2380: loss 0.2560, time 989.84ms, mfu 0.37%
iter 2390: loss 0.2549, time 1008.53ms, mfu 0.37%
iter 2400: loss 0.2468, time 996.23ms, mfu 0.37%
iter 2410: loss 0.2445, time 995.58ms, mfu 0.37%
iter 2420: loss 0.2473, time 994.68ms, mfu 0.37%
iter 2430: loss 0.2385, time 989.90ms, mfu 0.37%
iter 2440: loss 0.2391, time 991.32ms, mfu 0.37%
iter 2450: loss 0.2344, time 989.08ms, mfu 0.37%
iter 2460: loss 0.2396, time 991.12ms, mfu 0.37%
iter 2470: loss 0.2516, time 1004.78ms, mfu 0.37%
iter 2480: loss 0.2290, time 1006.13ms, mfu 0.37%
iter 2490: loss 0.2251, time 1014.85ms, mfu 0.37%
step 2500: train loss 0.2275, val loss 2.9887
iter 2500: loss 0.2311, time 150862.43ms, mfu 0.33%
