Overriding config with config/train_shakespeare_char_lr1e2.py:
# Experiment 1: High learning rate
# Change: learning_rate 1e-3 -> 1e-2 (10x increase)
# All other hyperparameters match baseline

out_dir = 'out-shakespeare-lr1e2'

eval_interval = 250
eval_iters = 200            
log_interval = 10

always_save_checkpoint = False

wandb_log = False
wandb_project = 'nanoGPT-assignment'
wandb_run_name = 'lr1e2'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256

n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-2       # CHANGED: baseline was 1e-3
max_iters = 5000
lr_decay_iters = 5000
min_lr = 1e-4
beta2 = 0.99

warmup_iters = 100
weight_decay = 1e-1

device = 'cuda'
compile = False

tokens per iteration will be: 16,384
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
c:\Users\lexil\code\NLP Foundations Assignment\FoundationsNLP\train.py:196: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
num decayed parameter tensors: 26, with 10,740,096 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
iter 1640: loss 1.7005, time 148.82ms, mfu 2.38%
iter 1650: loss 1.6729, time 157.33ms, mfu 2.38%
iter 1660: loss 1.7162, time 156.42ms, mfu 2.38%
iter 1670: loss 1.7065, time 156.37ms, mfu 2.38%
iter 1680: loss 1.6965, time 156.43ms, mfu 2.38%
iter 1690: loss 1.7051, time 143.57ms, mfu 2.40%
iter 1700: loss 1.6964, time 150.49ms, mfu 2.41%
iter 1710: loss 1.6939, time 145.50ms, mfu 2.42%
iter 1720: loss 1.6951, time 153.67ms, mfu 2.42%
iter 1730: loss 1.7170, time 153.57ms, mfu 2.42%
iter 1740: loss 1.6857, time 149.31ms, mfu 2.43%
step 1750: train loss 1.5750, val loss 1.7695
saving checkpoint to out-shakespeare-lr1e2
iter 1750: loss 1.6996, time 20954.03ms, mfu 2.19%
iter 1760: loss 1.7016, time 167.30ms, mfu 2.19%
iter 1770: loss 1.6953, time 159.37ms, mfu 2.21%
iter 1780: loss 1.6945, time 158.07ms, mfu 2.22%
iter 1790: loss 1.6969, time 146.92ms, mfu 2.25%
iter 1800: loss 1.7018, time 157.38ms, mfu 2.27%
iter 1810: loss 1.6740, time 158.73ms, mfu 2.27%
iter 1820: loss 1.6839, time 148.83ms, mfu 2.30%
iter 1830: loss 1.6937, time 153.24ms, mfu 2.31%
iter 1840: loss 1.6697, time 143.86ms, mfu 2.34%
iter 1850: loss 1.6902, time 140.51ms, mfu 2.37%
iter 1860: loss 1.6924, time 151.15ms, mfu 2.38%
iter 1870: loss 1.6454, time 149.97ms, mfu 2.39%
iter 1880: loss 1.6815, time 149.50ms, mfu 2.40%
iter 1890: loss 1.6909, time 153.29ms, mfu 2.40%
iter 1900: loss 1.6568, time 153.57ms, mfu 2.41%
iter 1910: loss 1.6908, time 154.34ms, mfu 2.41%
iter 1920: loss 1.6887, time 147.48ms, mfu 2.42%
iter 1930: loss 1.6784, time 151.58ms, mfu 2.42%
iter 1940: loss 1.6610, time 142.86ms, mfu 2.44%
iter 1950: loss 1.6453, time 162.19ms, mfu 2.43%
iter 1960: loss 1.6794, time 161.57ms, mfu 2.41%
iter 1970: loss 1.6648, time 149.24ms, mfu 2.42%
iter 1980: loss 1.6883, time 162.04ms, mfu 2.41%
iter 1990: loss 1.6618, time 155.58ms, mfu 2.41%
step 2000: train loss 1.5540, val loss 1.7753
iter 2000: loss 1.6861, time 20747.21ms, mfu 2.17%
iter 2010: loss 1.6717, time 146.09ms, mfu 2.21%
iter 2020: loss 1.6651, time 156.94ms, mfu 2.22%
iter 2030: loss 1.6808, time 156.43ms, mfu 2.24%
iter 2040: loss 1.6619, time 154.56ms, mfu 2.26%
iter 2050: loss 1.6168, time 145.18ms, mfu 2.29%
iter 2060: loss 1.6164, time 171.77ms, mfu 2.28%
iter 2070: loss 1.6507, time 143.09ms, mfu 2.31%
iter 2080: loss 1.6326, time 152.40ms, mfu 2.32%
iter 2090: loss 1.6675, time 149.39ms, mfu 2.34%
iter 2100: loss 1.6499, time 156.14ms, mfu 2.34%
iter 2110: loss 1.6394, time 160.58ms, mfu 2.34%
iter 2120: loss 1.6576, time 141.84ms, mfu 2.37%
iter 2130: loss 1.6686, time 149.82ms, mfu 2.38%
iter 2140: loss 1.6609, time 144.99ms, mfu 2.40%
iter 2150: loss 1.6688, time 156.75ms, mfu 2.40%
iter 2160: loss 1.6847, time 147.34ms, mfu 2.41%
iter 2170: loss 1.6693, time 153.87ms, mfu 2.41%
iter 2180: loss 1.6435, time 157.00ms, mfu 2.41%
iter 2190: loss 1.6357, time 151.87ms, mfu 2.41%
iter 2200: loss 1.6657, time 152.00ms, mfu 2.42%
iter 2210: loss 1.6234, time 154.49ms, mfu 2.42%
iter 2220: loss 1.6404, time 156.52ms, mfu 2.41%
iter 2230: loss 1.6434, time 147.00ms, mfu 2.43%
iter 2240: loss 1.6734, time 146.28ms, mfu 2.44%
step 2250: train loss 1.5199, val loss 1.7303
saving checkpoint to out-shakespeare-lr1e2
iter 2250: loss 1.6464, time 20830.61ms, mfu 2.20%
iter 2260: loss 1.6349, time 159.96ms, mfu 2.21%
iter 2270: loss 1.6815, time 141.59ms, mfu 2.25%
iter 2280: loss 1.6102, time 149.95ms, mfu 2.27%
iter 2290: loss 1.6506, time 150.61ms, mfu 2.29%
iter 2300: loss 1.6508, time 147.05ms, mfu 2.32%
iter 2310: loss 1.6271, time 148.76ms, mfu 2.34%
iter 2320: loss 1.6351, time 153.73ms, mfu 2.35%
iter 2330: loss 1.6307, time 145.22ms, mfu 2.37%
iter 2340: loss 1.6347, time 152.56ms, mfu 2.38%
iter 2350: loss 1.6178, time 150.80ms, mfu 2.38%
iter 2360: loss 1.6312, time 152.81ms, mfu 2.39%
iter 2370: loss 1.6150, time 151.88ms, mfu 2.40%
iter 2380: loss 1.6078, time 159.24ms, mfu 2.39%
iter 2390: loss 1.5966, time 162.11ms, mfu 2.38%
iter 2400: loss 1.6029, time 154.15ms, mfu 2.39%
iter 2410: loss 1.5994, time 150.32ms, mfu 2.39%
iter 2420: loss 1.5971, time 141.89ms, mfu 2.42%
iter 2430: loss 1.5759, time 156.43ms, mfu 2.41%
iter 2440: loss 1.5760, time 153.88ms, mfu 2.41%
iter 2450: loss 1.5987, time 149.15ms, mfu 2.42%
iter 2460: loss 1.5919, time 152.90ms, mfu 2.42%
iter 2470: loss 1.6154, time 149.60ms, mfu 2.43%
iter 2480: loss 1.6006, time 150.39ms, mfu 2.44%
iter 2490: loss 1.5781, time 145.68ms, mfu 2.45%
step 2500: train loss 1.4614, val loss 1.6832
saving checkpoint to out-shakespeare-lr1e2
iter 2500: loss 1.5955, time 20875.18ms, mfu 2.21%
iter 2510: loss 1.5932, time 157.97ms, mfu 2.22%
iter 2520: loss 1.5860, time 153.80ms, mfu 2.24%
iter 2530: loss 1.5605, time 149.63ms, mfu 2.27%
iter 2540: loss 1.5476, time 154.98ms, mfu 2.28%
iter 2550: loss 1.5700, time 145.87ms, mfu 2.31%
iter 2560: loss 1.5351, time 154.43ms, mfu 2.32%
iter 2570: loss 1.5591, time 146.61ms, mfu 2.34%
iter 2580: loss 1.5683, time 150.32ms, mfu 2.35%
iter 2590: loss 1.5509, time 153.67ms, mfu 2.36%
iter 2600: loss 1.5413, time 155.83ms, mfu 2.36%
iter 2610: loss 1.5215, time 166.64ms, mfu 2.35%
iter 2620: loss 1.5116, time 149.68ms, mfu 2.37%
iter 2630: loss 1.4788, time 152.70ms, mfu 2.37%
iter 2640: loss 1.5281, time 149.02ms, mfu 2.39%
iter 2650: loss 1.5480, time 150.30ms, mfu 2.39%
iter 2660: loss 1.5143, time 152.32ms, mfu 2.40%
iter 2670: loss 1.4975, time 149.58ms, mfu 2.41%
iter 2680: loss 1.5114, time 162.69ms, mfu 2.40%
iter 2690: loss 1.5087, time 156.61ms, mfu 2.40%
iter 2700: loss 1.4870, time 155.88ms, mfu 2.39%
iter 2710: loss 1.5134, time 151.71ms, mfu 2.40%
iter 2720: loss 1.4936, time 148.25ms, mfu 2.41%
iter 2730: loss 1.5149, time 148.04ms, mfu 2.42%
iter 2740: loss 1.4792, time 150.09ms, mfu 2.43%
step 2750: train loss 1.3779, val loss 1.6291
