Overriding config with config/train_shakespeare_char_md8.py:
# Experiment 4: High Model Depth
# Change: model depth n_layer 6 -> 8
# All other hyperparameters match baseline

out_dir = 'out-shakespeare-md8'

eval_interval = 250
eval_iters = 200            
log_interval = 10

always_save_checkpoint = False

wandb_log = False
wandb_project = 'nanoGPT-assignment'
wandb_run_name = 'md8'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256

n_layer = 8              # CHANGED: baseline was 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3      
max_iters = 5000
lr_decay_iters = 5000
min_lr = 1e-4
beta2 = 0.99

warmup_iters = 100
weight_decay = 1e-1

device = 'cuda' # change to 'cpu' for CPU
compile = False

tokens per iteration will be: 16,384
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 14.19M
c:\Users\lexil\code\NLP Foundations Assignment\FoundationsNLP\train.py:196: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
num decayed parameter tensors: 34, with 14,279,040 parameters
num non-decayed parameter tensors: 17, with 6,528 parameters
iter 1920: loss 1.0923, time 202.21ms, mfu 2.46%
iter 1930: loss 1.0923, time 206.40ms, mfu 2.45%
iter 1940: loss 1.0569, time 188.49ms, mfu 2.47%
iter 1950: loss 1.0773, time 200.02ms, mfu 2.47%
iter 1960: loss 1.0782, time 195.61ms, mfu 2.48%
iter 1970: loss 1.0796, time 197.96ms, mfu 2.48%
iter 1980: loss 1.0854, time 199.60ms, mfu 2.48%
iter 1990: loss 1.0941, time 192.22ms, mfu 2.49%
step 2000: train loss 0.9876, val loss 1.4865
iter 2000: loss 1.0730, time 28698.59ms, mfu 2.24%
iter 2010: loss 1.0803, time 208.48ms, mfu 2.26%
iter 2020: loss 1.0635, time 207.55ms, mfu 2.27%
iter 2030: loss 1.0557, time 202.17ms, mfu 2.29%
iter 2040: loss 1.0710, time 204.41ms, mfu 2.30%
iter 2050: loss 1.0734, time 192.54ms, mfu 2.33%
iter 2060: loss 1.0509, time 193.38ms, mfu 2.35%
iter 2070: loss 1.0890, time 196.96ms, mfu 2.37%
iter 2080: loss 1.0968, time 192.92ms, mfu 2.39%
iter 2090: loss 1.0433, time 200.34ms, mfu 2.40%
iter 2100: loss 1.0565, time 201.42ms, mfu 2.41%
iter 2110: loss 1.0733, time 200.82ms, mfu 2.41%
iter 2120: loss 1.0374, time 202.45ms, mfu 2.42%
iter 2130: loss 1.0178, time 201.31ms, mfu 2.42%
iter 2140: loss 1.0293, time 201.06ms, mfu 2.43%
iter 2150: loss 1.0345, time 197.64ms, mfu 2.44%
iter 2160: loss 1.0644, time 189.33ms, mfu 2.45%
iter 2170: loss 1.0546, time 190.12ms, mfu 2.47%
iter 2180: loss 1.0175, time 191.67ms, mfu 2.48%
iter 2190: loss 1.0452, time 185.22ms, mfu 2.50%
iter 2200: loss 1.0434, time 191.83ms, mfu 2.51%
iter 2210: loss 1.0545, time 199.05ms, mfu 2.51%
iter 2220: loss 1.0235, time 199.41ms, mfu 2.51%
iter 2230: loss 1.0021, time 192.82ms, mfu 2.51%
iter 2240: loss 1.0510, time 193.74ms, mfu 2.52%
step 2250: train loss 0.9214, val loss 1.4997
iter 2250: loss 1.0217, time 26046.39ms, mfu 2.27%
iter 2260: loss 1.0582, time 215.64ms, mfu 2.27%
iter 2270: loss 1.0251, time 192.75ms, mfu 2.30%
iter 2280: loss 1.0334, time 196.14ms, mfu 2.33%
iter 2290: loss 1.0119, time 196.93ms, mfu 2.35%
iter 2300: loss 1.0265, time 189.12ms, mfu 2.37%
iter 2310: loss 1.0002, time 200.85ms, mfu 2.38%
iter 2320: loss 0.9905, time 201.00ms, mfu 2.39%
iter 2330: loss 0.9965, time 196.51ms, mfu 2.41%
iter 2340: loss 1.0048, time 199.27ms, mfu 2.41%
iter 2350: loss 1.0216, time 189.53ms, mfu 2.43%
iter 2360: loss 1.0252, time 189.03ms, mfu 2.45%
iter 2370: loss 1.0186, time 190.80ms, mfu 2.47%
iter 2380: loss 1.0042, time 198.70ms, mfu 2.47%
iter 2390: loss 0.9886, time 186.42ms, mfu 2.49%
iter 2400: loss 0.9883, time 202.09ms, mfu 2.49%
iter 2410: loss 1.0046, time 193.23ms, mfu 2.50%
iter 2420: loss 0.9949, time 200.42ms, mfu 2.49%
iter 2430: loss 0.9960, time 200.00ms, mfu 2.49%
iter 2440: loss 0.9876, time 210.14ms, mfu 2.48%
iter 2450: loss 0.9823, time 201.56ms, mfu 2.48%
iter 2460: loss 0.9949, time 207.75ms, mfu 2.47%
iter 2470: loss 0.9598, time 199.83ms, mfu 2.47%
iter 2480: loss 0.9678, time 190.46ms, mfu 2.48%
iter 2490: loss 0.9775, time 203.02ms, mfu 2.48%
step 2500: train loss 0.8556, val loss 1.5343
iter 2500: loss 0.9815, time 26215.01ms, mfu 2.23%
iter 2510: loss 0.9775, time 216.17ms, mfu 2.24%
iter 2520: loss 1.0038, time 194.86ms, mfu 2.27%
iter 2530: loss 0.9740, time 208.98ms, mfu 2.28%
iter 2540: loss 0.9607, time 198.86ms, mfu 2.30%
iter 2550: loss 0.9887, time 198.52ms, mfu 2.32%
iter 2560: loss 0.9564, time 194.25ms, mfu 2.35%
iter 2570: loss 0.9748, time 200.86ms, mfu 2.36%
iter 2580: loss 0.9580, time 196.99ms, mfu 2.38%
iter 2590: loss 0.9592, time 191.15ms, mfu 2.40%
iter 2600: loss 0.9446, time 185.03ms, mfu 2.43%
iter 2610: loss 0.9589, time 200.85ms, mfu 2.43%
iter 2620: loss 0.9611, time 202.14ms, mfu 2.43%
iter 2630: loss 0.9661, time 196.38ms, mfu 2.44%
iter 2640: loss 0.9512, time 201.02ms, mfu 2.45%
iter 2650: loss 0.9335, time 189.70ms, mfu 2.46%
iter 2660: loss 0.9695, time 210.27ms, mfu 2.45%
iter 2670: loss 0.9308, time 191.71ms, mfu 2.47%
iter 2680: loss 0.9546, time 189.30ms, mfu 2.48%
iter 2690: loss 0.9298, time 199.57ms, mfu 2.48%
iter 2700: loss 0.9411, time 197.93ms, mfu 2.49%
iter 2710: loss 0.9723, time 204.18ms, mfu 2.48%
iter 2720: loss 0.9092, time 191.93ms, mfu 2.49%
iter 2730: loss 0.9428, time 201.19ms, mfu 2.49%
iter 2740: loss 0.9412, time 191.67ms, mfu 2.50%
step 2750: train loss 0.7852, val loss 1.5796
iter 2750: loss 0.9497, time 26603.27ms, mfu 2.25%
iter 2760: loss 0.9079, time 200.32ms, mfu 2.27%
iter 2770: loss 0.9136, time 199.30ms, mfu 2.30%
iter 2780: loss 0.9107, time 193.55ms, mfu 2.32%
iter 2790: loss 0.9364, time 200.06ms, mfu 2.34%
iter 2800: loss 0.9134, time 197.85ms, mfu 2.36%
iter 2810: loss 0.8985, time 200.67ms, mfu 2.37%
iter 2820: loss 0.9462, time 203.37ms, mfu 2.37%
iter 2830: loss 0.8877, time 190.24ms, mfu 2.40%
iter 2840: loss 0.9220, time 187.85ms, mfu 2.42%
iter 2850: loss 0.9165, time 204.63ms, mfu 2.42%
iter 2860: loss 0.9118, time 206.19ms, mfu 2.42%
iter 2870: loss 0.9097, time 199.58ms, mfu 2.43%
iter 2880: loss 0.8885, time 192.70ms, mfu 2.44%
iter 2890: loss 0.8976, time 198.60ms, mfu 2.45%
iter 2900: loss 0.9056, time 196.68ms, mfu 2.46%
iter 2910: loss 0.8799, time 204.15ms, mfu 2.45%
iter 2920: loss 0.8777, time 199.46ms, mfu 2.46%
iter 2930: loss 0.8947, time 193.36ms, mfu 2.47%
iter 2940: loss 0.9176, time 199.98ms, mfu 2.47%
iter 2950: loss 0.8990, time 201.26ms, mfu 2.47%
iter 2960: loss 0.8973, time 199.68ms, mfu 2.47%
iter 2970: loss 0.8708, time 191.37ms, mfu 2.48%
iter 2980: loss 0.8538, time 193.33ms, mfu 2.49%
iter 2990: loss 0.8668, time 188.18ms, mfu 2.51%
step 3000: train loss 0.7222, val loss 1.6217
iter 3000: loss 0.8899, time 26233.80ms, mfu 2.26%
iter 3010: loss 0.8727, time 200.33ms, mfu 2.28%
iter 3020: loss 0.8810, time 196.83ms, mfu 2.30%
iter 3030: loss 0.8598, time 200.21ms, mfu 2.32%
iter 3040: loss 0.8688, time 194.38ms, mfu 2.35%
iter 3050: loss 0.8440, time 194.22ms, mfu 2.37%
iter 3060: loss 0.8573, time 209.05ms, mfu 2.37%
iter 3070: loss 0.8617, time 199.71ms, mfu 2.38%
iter 3080: loss 0.8647, time 204.70ms, mfu 2.38%
iter 3090: loss 0.8598, time 192.43ms, mfu 2.40%
iter 3100: loss 0.8469, time 192.73ms, mfu 2.42%
iter 3110: loss 0.8714, time 182.44ms, mfu 2.45%
iter 3120: loss 0.8639, time 192.14ms, mfu 2.46%
iter 3130: loss 0.8425, time 203.03ms, mfu 2.46%
iter 3140: loss 0.8325, time 195.64ms, mfu 2.47%
iter 3150: loss 0.8598, time 194.52ms, mfu 2.48%
iter 3160: loss 0.8478, time 195.25ms, mfu 2.48%
iter 3170: loss 0.8261, time 194.19ms, mfu 2.49%
iter 3180: loss 0.8193, time 200.72ms, mfu 2.49%
iter 3190: loss 0.8293, time 196.93ms, mfu 2.49%
iter 3200: loss 0.8483, time 206.66ms, mfu 2.48%
iter 3210: loss 0.8691, time 195.12ms, mfu 2.49%
iter 3220: loss 0.8330, time 196.91ms, mfu 2.49%
iter 3230: loss 0.8519, time 187.24ms, mfu 2.51%
iter 3240: loss 0.8204, time 198.83ms, mfu 2.51%
step 3250: train loss 0.6599, val loss 1.6761
iter 3250: loss 0.8815, time 26389.88ms, mfu 2.26%
iter 3260: loss 0.8423, time 208.16ms, mfu 2.27%
iter 3270: loss 0.8283, time 198.13ms, mfu 2.30%
iter 3280: loss 0.8401, time 188.72ms, mfu 2.33%
iter 3290: loss 0.8262, time 204.01ms, mfu 2.34%
iter 3300: loss 0.8552, time 200.27ms, mfu 2.35%
iter 3310: loss 0.8189, time 199.86ms, mfu 2.37%
iter 3320: loss 0.8159, time 194.59ms, mfu 2.39%
iter 3330: loss 0.8102, time 192.47ms, mfu 2.40%
iter 3340: loss 0.8128, time 195.27ms, mfu 2.42%
iter 3350: loss 0.8061, time 190.95ms, mfu 2.44%
iter 3360: loss 0.8047, time 194.70ms, mfu 2.45%
iter 3370: loss 0.7932, time 199.37ms, mfu 2.45%
iter 3380: loss 0.7887, time 207.46ms, mfu 2.45%
iter 3390: loss 0.8101, time 197.41ms, mfu 2.45%
iter 3400: loss 0.8023, time 195.74ms, mfu 2.46%
iter 3410: loss 0.8219, time 200.20ms, mfu 2.46%
iter 3420: loss 0.8110, time 193.16ms, mfu 2.47%
iter 3430: loss 0.7878, time 197.71ms, mfu 2.48%
iter 3440: loss 0.7976, time 196.27ms, mfu 2.48%
iter 3450: loss 0.7841, time 190.81ms, mfu 2.50%
iter 3460: loss 0.7914, time 190.65ms, mfu 2.51%
iter 3470: loss 0.7999, time 194.44ms, mfu 2.51%
iter 3480: loss 0.7826, time 192.84ms, mfu 2.52%
iter 3490: loss 0.7723, time 181.72ms, mfu 2.54%
step 3500: train loss 0.6028, val loss 1.7154
iter 3500: loss 0.7774, time 25929.24ms, mfu 2.29%
iter 3510: loss 0.7623, time 197.91ms, mfu 2.31%
iter 3520: loss 0.7623, time 189.52ms, mfu 2.34%
iter 3530: loss 0.7658, time 201.70ms, mfu 2.35%
iter 3540: loss 0.7872, time 196.67ms, mfu 2.37%
iter 3550: loss 0.7623, time 199.40ms, mfu 2.38%
iter 3560: loss 0.7513, time 198.94ms, mfu 2.39%
